ID,P.Value,logFC,Gene.symbol
220569_at,0.0000163,3.1669147,
1553181_at,0.0000331,2.9013745,DDX31
1560988_a_at,0.0000387,3.2820552,LINC00556
237446_at,0.0000421,-2.9670722,
1553410_a_at,0.0000479,-2.922597,ABCC12
1555551_at,0.0000488,-2.9920716,SERPINB5
226064_s_at,0.0000536,-2.6851393,DGAT2
1561451_a_at,0.0000706,2.9220931,LOC101928551
232656_at,0.0000955,-2.9319977,
218494_s_at,0.0001057,2.7479782,SLC2A4RG
223349_s_at,0.0001073,2.6397367,BOK
207814_at,0.0001217,-3.2987962,DEFA6
222830_at,0.0001283,-2.4787589,GRHL1
1556758_at,0.0001804,2.3607747,FAM208B
1554129_a_at,0.0002047,-3.0896294,ADIG
207456_at,0.0002129,-2.6161703,HNF4G
218849_s_at,0.0002201,-2.7154523,PPP1R13L
210506_at,0.0002248,-3.1153173,FUT7
1556810_a_at,0.0002332,3.6463171,
233723_at,0.0002392,-3.3708102,
240995_at,0.0002403,-2.6253831,
207672_at,0.000285,2.6564305,RFX4
208288_at,0.0003423,-2.4261106,ABCB11
241012_at,0.0003633,-3.8867395,
205840_x_at,0.00039,-3.4313998,GH1
242908_x_at,0.0003982,2.3291781,
1570594_at,0.0003997,-3.4918599,
210398_x_at,0.0004306,-2.6581281,FUT6
1559911_at,0.0004544,3.3289708,
239526_x_at,0.0004666,2.9380519,PTPN1
217240_at,0.0004703,-2.7989518,SIRPB1
233379_at,0.0004805,2.7211257,PRR5L
1560908_at,0.0004839,2.2243137,
234754_at,0.000556,-2.5427528,SLC37A1
240870_at,0.0005805,-3.3534412,
236746_at,0.0006335,2.2097148,GALNT1
234790_at,0.0006423,-2.766536,
244156_at,0.0006546,-2.5658888,
207324_s_at,0.0006628,2.4514734,DSC1
1558371_a_at,0.0006706,2.7054025,ERICH1
205072_s_at,0.0006713,-2.4796323,XRCC4
239764_at,0.0006716,2.457309,ITPR1-AS1
244643_at,0.0006755,-3.3769555,
201781_s_at,0.0006772,-2.501189,AIP
1564590_a_at,0.0006831,2.5646952,OFCC1
216951_at,0.0007382,2.4637522,FCGR1A
212173_at,0.0007396,2.0329186,AK2
214636_at,0.0007514,-2.7318499,CALCB
1561019_at,0.0007573,-3.0094584,
236707_at,0.0007672,-3.0887667,DAPP1
236616_at,0.0007815,-2.7395962,PSD4
234334_s_at,0.0007962,-3.0577497,LAMB4
216803_at,0.0008122,-3.5672085,PDLIM5
235856_at,0.0008318,3.0891811,
1560066_at,0.0008335,-2.6003838,
1553385_at,0.000848,-2.7184452,LINC01101
237421_at,0.0008484,-2.6093409,
230153_at,0.0008626,2.4278553,NEK9
219932_at,0.0008922,2.31791,SLC27A6
216176_at,0.0009262,2.9508722,HCRP1
1558116_x_at,0.0009745,3.0346601,RECK
1558856_at,0.0009822,2.8024044,DMRTA2
220925_at,0.0009862,3.613019,NAA35
241142_at,0.0010272,2.3893082,
237281_at,0.0010454,-3.2020171,AKAP14
237048_at,0.0010553,2.5055819,LOC105373383
230095_at,0.0010777,2.0526873,GLRX3
212715_s_at,0.0010802,2.1962914,MICAL3
216132_at,0.0010817,2.9467062,
205694_at,0.00109,3.4730801,TYRP1
234010_at,0.0011169,2.0885305,
214740_at,0.0011484,2.7740239,UPK3BL///POLR2J3///POLR2J2///POLR2J
204776_at,0.0011599,2.254623,THBS4
1553217_s_at,0.0011674,2.403202,ZNF41
216578_at,0.0011724,-2.2739732,
1568513_x_at,0.0011725,-2.5426782,
217516_x_at,0.0011987,-1.912723,ARVCF
229352_at,0.0012282,-3.1890482,SPESP1
1565834_a_at,0.0012464,2.5425721,
1570124_at,0.0012705,2.171941,SLC29A4
210886_x_at,0.001277,2.7103892,TP53TG1
219664_s_at,0.0012774,2.7197902,DECR2
215822_x_at,0.0012992,-2.5007628,MYT1
1558423_at,0.0013038,1.6174444,LINC00265
211890_x_at,0.0013459,2.1696497,CAPN3
217684_at,0.0013899,2.6547934,TYMS
238814_at,0.0013941,-2.2605103,SLC35C2
221981_s_at,0.0014225,1.9470637,WDR59
243164_s_at,0.0014246,2.4590483,
