ID,P.Value,logFC,Gene.symbol
211841_s_at,0.0000383,-2.4765238,TNFRSF25
212466_at,0.0000517,2.85145,SPRED2
215635_at,0.0000521,1.5227595,
204750_s_at,0.0002713,2.2463751,DSC2
210128_s_at,0.0003533,1.6064847,LTB4R
209876_at,0.0003729,1.5845404,GIT2
217203_at,0.0005484,2.0722761,
211809_x_at,0.000617,1.2723349,COL13A1
210847_x_at,0.0006759,-1.8362172,TNFRSF25
209803_s_at,0.0007891,-2.0462532,PHLDA2
213415_at,0.0008063,-2.4979815,CLIC2
204330_s_at,0.0008276,1.9996325,MRPS12
207070_at,0.0009428,-1.4796036,RGR
203980_at,0.0009669,-1.9905363,FABP4
200811_at,0.0009972,0.8986341,CIRBP
205919_at,0.0010514,1.7361037,HBE1
209246_at,0.0010914,1.3570245,ABCF2
219696_at,0.0012027,-1.1568463,DENND1B
207479_at,0.0012159,1.8764278,
210339_s_at,0.0012281,2.0642305,KLK2
220394_at,0.0012814,1.9140638,FGF20
202877_s_at,0.0013118,-1.2317788,CD93
220060_s_at,0.0014204,-2.0518738,PARPBP
217467_at,0.001421,1.8540309,BTF3P13
213995_at,0.0015231,0.8958162,ATP5S
222196_at,0.00168,2.6448275,LOC389906
208265_at,0.0016877,1.2910872,C2orf83
221944_at,0.0016937,1.0638257,FLJ42627
222228_s_at,0.0018389,1.2678988,ALKBH4
202257_s_at,0.0018409,1.8202879,CD2BP2
215125_s_at,0.002125,-1.4956203,UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10
213812_s_at,0.0022361,-1.0350364,CAMKK2
214235_at,0.002502,1.4193058,CYP3A5
208319_s_at,0.0025976,1.4717056,RBM3
221730_at,0.0027367,-0.9740666,COL5A2
215708_s_at,0.0028426,-1.7831551,PRIM2B///PRIM2
202456_s_at,0.0028585,1.5173408,ZER1
215349_at,0.0029639,2.0939146,BTBD18
219661_at,0.002994,1.6691716,RANBP17
216880_at,0.003059,1.8043418,RAD51B
221892_at,0.003255,1.6969742,H6PD
210368_at,0.0033174,2.1290585,PCDHGA8
208470_s_at,0.0033272,1.791388,HPR///HP
214318_s_at,0.003349,1.4502693,FRY
208111_at,0.0035923,1.8893845,AVPR2
206203_at,0.0036855,-1.7706471,RCVRN
205196_s_at,0.0038488,1.2152679,AP1S1
216490_x_at,0.0039704,1.1262082,
205811_at,0.0040016,-1.4884294,POLG2
214757_at,0.0041036,1.7172075,PMS2P2
209976_s_at,0.0041407,1.8035985,CYP2E1
217562_at,0.0042439,-0.9317081,BRINP3
215842_s_at,0.0043395,1.5459953,ATP11A
200810_s_at,0.0043499,0.8634966,CIRBP
216675_at,0.0043653,1.5658619,
220747_at,0.0044269,1.4327844,LINC00652
217078_s_at,0.0044307,-1.0053002,CD300A
206123_at,0.0044498,1.3279366,LLGL1
213660_s_at,0.0047842,1.7579491,TOP3B
213985_s_at,0.0049327,1.8897649,TMEM259
212700_x_at,0.0052506,-1.1024106,MIR6080///MIR4315-1///MIR4315-2///PLEKHM1P1///PLEKHM1
203643_at,0.00547,1.3717715,ERF
202731_at,0.0054778,0.9430182,MIR4680///PDCD4
221815_at,0.0054991,2.1405761,ABHD2
208880_s_at,0.0055125,0.8440265,PRPF6
205201_at,0.0055824,-0.6643137,GLI3
