ID,P.Value,logFC,Gene.symbol
211513_s_at,0.0000106,1.8371813,OGFR
208084_at,0.0000329,-2.1183179,LOC100505984///ITGB6
216333_x_at,0.000056,1.7353339,TNXB///TNXA
205784_x_at,0.0000593,1.8097764,ARVCF
215635_at,0.0000945,2.1228847,
215349_at,0.0001588,2.1482353,BTBD18
208218_s_at,0.0001841,-1.8582639,ACVR1B
206278_at,0.0003445,2.0823006,PTAFR
215908_at,0.0005396,1.6538067,
211365_s_at,0.0006044,-1.1457664,PCDHA2
220203_at,0.0006069,1.4396909,BMP8A
221730_at,0.0006168,-3.4666656,COL5A2
222325_at,0.0006768,2.0147236,
205235_s_at,0.0007334,1.7922474,KIF20B
205757_at,0.0007514,1.0471186,ENTPD5
205607_s_at,0.0008249,-1.8325096,SCYL3
214105_at,0.0008251,1.3213146,SOCS3
217350_at,0.0008282,1.5506775,MIR492///KRT19P2
206001_at,0.0008933,-1.1404715,NPY
205164_at,0.0008941,-1.5179314,GCAT
221586_s_at,0.0009114,-1.8659259,E2F5
217675_at,0.0009448,1.9041867,ZBTB7C
221201_s_at,0.0011182,2.4919934,ZNF155
206211_at,0.0011443,-3.5317882,SELE
201182_s_at,0.0011958,1.2612845,CHD4
213660_s_at,0.001214,2.1493752,TOP3B
38290_at,0.0012337,-1.1148218,RGS14
217486_s_at,0.0012429,1.7415513,ZDHHC17
220893_at,0.0012723,-1.927844,LOC57399
215008_at,0.0012744,-1.6088654,TLL2
203193_at,0.00131,1.2894925,ESRRA
222262_s_at,0.0013313,-2.082421,ETNK1
207590_s_at,0.0013663,1.1076997,CENPI
205811_at,0.0014508,-1.3088552,POLG2
202456_s_at,0.0015129,1.5440553,ZER1
221035_s_at,0.0015305,1.3525196,TEX14
215663_at,0.001578,-2.5023543,MBNL1
216965_x_at,0.0017774,-0.9662581,SPG20
207932_at,0.0017819,3.0556423,IFNA8
213181_s_at,0.0018491,1.1535545,MOCS1
204577_s_at,0.0018505,0.9219077,CLUAP1
217536_x_at,0.0018515,2.7050118,
220931_at,0.0018567,-1.3145166,SMIM2
212593_s_at,0.0018685,1.1564815,MIR4680///PDCD4
201083_s_at,0.0018889,1.0781158,BCLAF1
208250_s_at,0.0019008,-0.796394,DMBT1
221729_at,0.0019263,-2.4765355,COL5A2
208111_at,0.0019316,2.1216696,AVPR2
219550_at,0.001987,1.2749894,ROBO3
220559_at,0.0020452,-2.0065555,EN1
208513_at,0.0020548,-1.0431571,FOXB1
210753_s_at,0.0021192,0.8615898,EPHB1
209419_at,0.002316,-2.6969968,THOC5
