ID,P.Value,logFC,Gene.symbol
208031_s_at,0.0000118,2.19226375,RFX2
217675_at,0.0000576,1.62459807,ZBTB7C
210487_at,0.0001058,1.34665011,DNTT
206278_at,0.0001335,2.58768042,PTAFR
209443_at,0.0001359,2.29417971,SERPINA5
203461_at,0.0001727,1.39934649,CHD2
219042_at,0.0002714,-1.81844924,LZTS1
207147_at,0.0004136,-2.40642305,DLX2
207710_at,0.0004145,2.04265133,LCE2B
217392_at,0.0005262,1.9500809,
215306_at,0.0006855,1.57150888,
217483_at,0.000814,1.56530002,FOLH1
202018_s_at,0.000851,3.80976866,LTF
214950_at,0.0008573,1.9416891,IL9R
211820_x_at,0.0008786,-1.62102852,GYPA
211606_at,0.0009196,2.84736953,
217536_x_at,0.000963,3.00457984,
219073_s_at,0.000981,-1.4217891,OSBPL10
219525_at,0.0010833,3.26463734,SLC47A1
AFFX-ThrX-M_at,0.001252,2.53676224,
207924_x_at,0.0012942,2.39555296,PAX8
206507_at,0.0013862,1.11629019,ZSCAN12
221248_s_at,0.0014246,2.54259964,WHSC1L1
214713_at,0.0014355,-1.15829595,YLPM1
210602_s_at,0.0014424,-2.09144323,CDH6
211496_s_at,0.0015123,-1.6731413,PDC
221415_s_at,0.0015705,-1.76454707,GJA9-MYCBP///GJA9///MYCBP
222332_at,0.0015868,3.13827276,
217467_at,0.0016216,1.66731632,BTF3P13
216667_at,0.0016745,2.00202005,ECRP
206343_s_at,0.0016977,-1.99087468,NRG1
214417_s_at,0.0017758,1.26144265,FETUB
206651_s_at,0.0018126,1.59377319,CPB2
206202_at,0.0018435,2.86752709,MEOX2
206034_at,0.0018727,1.46497737,SERPINB8
220060_s_at,0.0018991,-2.45489615,PARPBP
218801_at,0.0019065,-0.99213647,UGGT2
203748_x_at,0.0019301,-1.45711103,RBMS1
220124_at,0.0019874,1.73479415,GAN
207225_at,0.0019882,1.56396216,AANAT
206315_at,0.0020536,2.45952998,CRLF1
210802_s_at,0.0020618,-1.85547611,DIMT1
217121_at,0.0020737,2.45968666,TNKS
211022_s_at,0.0020938,1.8080983,ATRX
217450_at,0.0021205,1.8429321,AGFG2
208140_s_at,0.0021979,1.2577643,DRC3
