ID,P.Value,logFC,Gene.symbol
1565838_at,0.00000264,-3.71546188,LOC101929162
216767_at,0.00000404,-4.23980305,
236198_at,0.00002504,-3.42433789,LINC01215
1560851_at,0.00002768,-3.89078569,LINC00619
1560968_at,0.0000454,2.65840888,
37226_at,0.00004916,-3.11854311,BNIP1
243192_at,0.00007123,-3.4098134,
1563742_at,0.00008558,-3.32542343,LINC00842
243385_at,0.00008577,-2.71965432,
214636_at,0.00009327,-3.2357472,CALCB
244156_at,0.00009891,-2.74648635,
233704_at,0.00010655,-3.91861079,
238094_at,0.00010866,-3.02955998,LOC101928728
1552419_s_at,0.00011088,-3.1280508,TTLL10
1557857_a_at,0.00011438,2.70454614,
231674_at,0.0001164,-2.8902834,
235095_at,0.00012241,-3.00868357,BICDL2
236676_at,0.00012843,2.39028926,
213973_at,0.00013155,-3.7532703,RRBP1
230625_s_at,0.00013197,2.64644414,TSPAN12
234621_at,0.0001362,-3.00223543,
212097_at,0.00014464,2.60572305,CAV1
207672_at,0.00015156,2.82330661,RFX4
239853_at,0.00016101,-3.04453822,KLC3
222174_at,0.00019051,-2.59372674,
239808_at,0.00021388,2.73849744,
238419_at,0.00021482,2.97644371,PHLDB2
240564_x_at,0.00023058,3.88746833,
231720_s_at,0.00023512,2.64121606,JAM3
210886_x_at,0.00024375,3.24088472,TP53TG1
238383_at,0.00024688,2.77301131,C6orf58
230757_at,0.00025557,3.04303765,
36907_at,0.00025739,-2.54357091,MVK
233209_at,0.00026453,-3.14276629,LOC200609
1555551_at,0.00029694,-2.6981084,SERPINB5
243175_at,0.00030788,-3.65583842,UTS2B
201809_s_at,0.00032136,-2.48520225,ENG
208196_x_at,0.00034275,2.24729805,NFATC1
236563_at,0.00035221,-2.69510036,RD3
229158_at,0.00035757,-2.58648234,WNK4
218154_at,0.00036413,-2.6741422,GSDMD
1569387_at,0.00040104,3.42652321,CSGALNACT1
1563139_at,0.00040973,-3.42581885,
239639_at,0.00041024,-2.5254835,
239881_at,0.00041332,-3.6608077,
217076_s_at,0.0004361,2.7012702,LOC401021///HOXD4///HOXD3
231593_at,0.00044521,2.35655072,
240304_s_at,0.00044799,-3.26748807,TMC5
207355_at,0.00046271,-2.58866761,SLC1A7
240358_at,0.00047514,-3.47478397,
204015_s_at,0.00048103,-3.23927251,DUSP4
242011_at,0.0004884,2.44909688,
232743_at,0.00051829,-2.89862184,
227438_at,0.00052741,2.66542534,ALPK1
236141_at,0.00053045,-3.18718182,HAND2-AS1
210855_at,0.00053539,-2.39144051,GREB1
240751_at,0.0005639,-3.07840247,
1558742_at,0.00058543,2.66981509,
206058_at,0.00059963,3.45631358,SLC6A12
210586_x_at,0.00060587,3.10984154,RHD
233324_at,0.00060924,3.21250546,TRERF1
243261_at,0.00061101,-3.23154647,LINC00689
215573_at,0.00061249,2.14199667,CAT
201771_at,0.00064022,-1.97700653,SCAMP3
