ID,P.Value,logFC,Gene.symbol
232137_at,0.00000404,-4.24469123,ZNF616
1552998_at,0.00000538,3.97439307,DEFB125
232882_at,0.0000508,4.49946227,
209131_s_at,0.0000541,3.33763647,SNAP23
238419_at,0.00006146,3.19255918,PHLDB2
240312_at,0.00006262,-4.2968497,LOC389895
221406_s_at,0.00006355,-3.43804326,MSH5-SAPCD1///SAPCD1
208806_at,0.00006921,2.96345522,CHD3
244526_at,0.0000738,2.89286326,RASGRP3
207615_s_at,0.00008854,-2.95738796,GAS8-AS1
208423_s_at,0.00009963,2.80364258,MSR1
241142_at,0.00010611,3.32743269,
233180_at,0.00011345,3.74236522,
244156_at,0.00012179,-2.9424456,
242285_at,0.0001298,-2.80571967,
210107_at,0.00013091,-2.85984367,CLCA1
201755_at,0.00013666,2.56091439,MCM5
244445_at,0.00014786,3.78294538,
240284_x_at,0.00015979,3.0166098,LOC105369635
228210_at,0.00017174,-2.64979051,NXPH3
240564_x_at,0.00018169,3.70129309,
1557242_at,0.00018873,-3.0606536,
208379_x_at,0.00020385,-2.92424801,NPY2R
243112_at,0.0002085,-3.38659879,
227438_at,0.00021736,2.80649222,ALPK1
220291_at,0.00022424,2.86092302,GDPD2
242033_at,0.00025094,-3.2865111,RNF180
207667_s_at,0.00025761,3.10816572,LOC100996792///MAP2K3
202009_at,0.00027024,-2.2321401,TWF2
242711_x_at,0.00027962,-3.05362267,FANCM
1570085_at,0.0002803,1.98584101,LOC100506679
237291_at,0.00030649,-3.14198419,PRORSD1P
234390_x_at,0.00030914,2.91602857,
228097_at,0.00031186,-3.45541244,MYLIP
1556873_at,0.00031711,3.0749677,MEX3C
1565693_at,0.00036399,-4.00760436,DTYMK
241295_at,0.00036509,-2.83023406,
1566844_at,0.00036567,-2.37296801,PER4
225757_s_at,0.00037761,2.88236675,CLMN
224343_x_at,0.0003835,3.15016239,YME1L1
239526_x_at,0.00039126,2.76790377,PTPN1
216410_at,0.00042979,-2.26803684,
223349_s_at,0.00043012,2.22969576,BOK
207126_x_at,0.00043326,-2.94108526,UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10
244283_x_at,0.00044725,2.88691102,
206965_at,0.00045049,3.15614657,KLF12
217258_x_at,0.00045663,2.8948264,IGLV1-44
221585_at,0.00049697,2.37436092,CACNG4
216313_at,0.00052594,2.20228572,PCDHB17P
232743_at,0.00052879,-2.68387853,
1561078_at,0.00055334,-2.47546463,LOC105376100
239551_at,0.00055885,-3.74421334,
1557606_at,0.00056215,2.90538361,LOC101928002
1555324_at,0.00056656,-2.64885393,PTK7
235781_at,0.00057657,-1.81193529,CACNA1B
212097_at,0.00059515,2.21944851,CAV1
228004_at,0.00059752,-2.95223916,LINC00261
