"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ILMN_2097421"	2.97205120119048e-23	7.75526759697957e-28	12.4049778360798	52.5066558634162	0.566250743428581	"MRPL51"	"mitochondrial ribosomal protein L51"
"ILMN_1784286"	4.23532252514759e-22	2.21032931928481e-26	11.9690509006813	49.2138932013998	1.09643961067892	"NDUFA1"	"NADH:ubiquinone oxidoreductase subunit A1"
"ILMN_1695645"	9.12905017730844e-19	7.14640047280362e-23	10.8989060831065	41.2725310069463	0.342302493118902	"CETN2"	"centrin 2"
"ILMN_2189936"	1.23469720966265e-18	1.55843764990653e-22	10.7939454405628	40.5066062032135	0.690056957425069	"RPL36AL"	"ribosomal protein L36a like"
"ILMN_1776104"	1.23469720966265e-18	1.61090886629786e-22	10.789479666661	40.4740761283252	0.920081013409817	"NDUFS5"	"NADH:ubiquinone oxidoreductase subunit S5"
"ILMN_1732328"	1.60615300497822e-18	2.51465648040845e-22	10.7293597683271	40.0366113465667	0.968917707261076	""	""
"ILMN_2128128"	4.16354779239313e-18	7.60505037360121e-22	10.5794408065172	38.9495873309442	0.993524974140582	"SHFM1"	"split hand/foot malformation (ectrodactyly) type 1"
"ILMN_2237746"	1.3198848319188e-17	2.75528498691397e-21	10.4040756822575	37.6853255789498	0.388627543592639	"ING3"	"inhibitor of growth family member 3"
"ILMN_1792528"	1.60540811903878e-17	3.77023538641261e-21	10.3611854770339	37.3773504129506	0.601309008110082	""	""
"ILMN_1746516"	1.63830103940217e-17	4.27498118467284e-21	10.3439837435036	37.2539717212671	0.650520801687003	"RPS25"	"ribosomal protein S25"
"ILMN_2339779"	1.84497631690812e-17	5.29570740442798e-21	10.3146437292842	37.04371708378	0.414536272563662	"ATP6V1E1"	"ATPase H+ transporting V1 subunit E1"
"ILMN_2187718"	2.95275238826751e-17	9.24589115132168e-21	10.2381292323963	36.4965151017158	0.527356745665914	"COX17"	"COX17, cytochrome c oxidase copper chaperone"
"ILMN_1726603"	5.30331102320539e-17	1.7989991206761e-20	10.1464445115724	35.8429756047834	0.743725374028383	"ATP5I"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E"
"ILMN_1716895"	5.67414124693925e-17	2.07285383339377e-20	10.1268851292079	35.703863014818	0.430618683758954	"RPA3"	"replication protein A3"
"ILMN_1815707"	6.50634724241062e-17	2.5466484522652e-20	10.098442941676	35.501769331302	0.389303474093968	"CALML4"	"calmodulin like 4"
"ILMN_2189933"	1.549781127535e-16	6.47039585642043e-20	9.96919937125828	34.5864145606879	0.727763206376858	"RPL36AL"	"ribosomal protein L36a like"
"ILMN_1803775"	4.27289570392852e-16	1.89544730231936e-19	9.81936598461759	33.531501625103	0.758510175523806	"HSPE1"	"heat shock protein family E (Hsp10) member 1"
"ILMN_2232936"	6.95793213489613e-16	3.26808387725727e-19	9.74305731180725	32.9969097131181	0.746147607464856	"UQCRH"	"ubiquinol-cytochrome c reductase hinge protein"
"ILMN_1726239"	8.44845538415055e-16	4.18862438480444e-19	9.70820905335408	32.7533862453497	0.637319526514656	"TBCA"	"tubulin folding cofactor A"
"ILMN_1664167"	3.33981544895996e-15	1.74468267421001e-18	9.50678776145497	31.3535362142526	0.379675840597415	"RPF2"	"ribosome production factor 2 homolog"
"ILMN_1753892"	3.33981544895996e-15	1.83013136832083e-18	9.50000511706894	31.306630909707	0.38151451629874	""	""
"ILMN_2166865"	3.61638039239158e-15	2.07604750757025e-18	9.48211033119038	31.1829539353603	0.69391659166406	"ENY2"	"ENY2, transcription and export complex 2 subunit"
"ILMN_1759453"	5.82976997136985e-15	3.49880513898981e-18	9.40786453741893	30.670974811308	0.381122797180836	"UQCRB"	"ubiquinol-cytochrome c reductase binding protein"
"ILMN_2048326"	9.49480144331719e-15	5.94617422017098e-18	9.33215430623488	30.1508461308763	0.452223939998674	"RPS27A"	"ribosomal protein S27a"
"ILMN_1672496"	1.10589015002007e-14	7.21427178208954e-18	9.3044864573124	29.9612660374595	0.660770234178054	"DNAJA1"	"DnaJ heat shock protein family (Hsp40) member A1"
"ILMN_1672006"	1.45649907364709e-14	9.88152699810151e-18	9.25937704099986	29.6527542935677	0.423878672218105	"SSB"	"Sjogren syndrome antigen B"
"ILMN_2324998"	2.76887909547138e-14	2.02744184385701e-17	9.15594016378132	28.9480719876774	0.371402884768832	"NGDN"	"neuroguidin"
