"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ILMN_2189936"	5.75484606256227e-14	1.79563982107469e-18	9.43575243432365	31.188836519805	0.446634228598889	"RPL36AL"	"ribosomal protein L36a like"
"ILMN_2189933"	5.26795201159206e-12	4.6536213951181e-16	8.64582086369217	25.7115866640485	0.45332861914431	"RPL36AL"	"ribosomal protein L36a like"
"ILMN_1792528"	5.26795201159206e-12	4.93115418102786e-16	8.63738999633566	25.6545489116311	0.45502364554493	""	""
"ILMN_1784286"	1.34669927233194e-11	1.68080036485624e-15	8.4578381909292	24.4473986361898	0.497696874840113	"NDUFA1"	"NADH:ubiquinone oxidoreductase subunit A1"
"ILMN_1746516"	2.11441598718879e-11	3.29872380914973e-15	8.35820436870532	23.7839070262356	0.456937488518626	"RPS25"	"ribosomal protein S25"
"ILMN_1776104"	9.40492468527377e-11	1.76072726486451e-14	8.10774658264678	22.1367382870525	0.42190557160555	"NDUFS5"	"NADH:ubiquinone oxidoreductase subunit S5"
"ILMN_1695645"	1.01078836444165e-10	2.20771897753176e-14	8.07357168908304	21.9143328676897	0.180470860347469	"CETN2"	"centrin 2"
"ILMN_3243890"	1.65438103343845e-10	4.24665324146091e-14	7.97427025156715	21.2713685230232	0.190029861287659	"NDUFA2"	"NADH:ubiquinone oxidoreductase subunit A2"
"ILMN_1652073"	1.65438103343845e-10	4.6458327251852e-14	7.96057586245508	21.1830847570532	0.532371569450444	""	""
"ILMN_2097421"	2.57580193786126e-10	8.03707428581629e-14	7.87672282926199	20.6445704910487	0.283127353985824	"MRPL51"	"mitochondrial ribosomal protein L51"
"ILMN_2110281"	5.38027258681783e-10	1.8466410326374e-13	7.74841714907791	19.8275271237002	0.212718255041175	"UFC1"	"ubiquitin-fold modifier conjugating enzyme 1"
"ILMN_2187718"	6.48148858029114e-10	2.45652186599447e-13	7.70410467734279	19.5473295346569	0.254902819173894	"COX17"	"COX17, cytochrome c oxidase copper chaperone"
"ILMN_1732328"	6.48148858029114e-10	2.62907895858794e-13	7.69354049733925	19.4806816216416	0.482938163117737	""	""
"ILMN_3301440"	3.68588231037154e-09	1.61010803286223e-12	7.40811950165456	17.7025329952334	0.420466062974173	""	""
"ILMN_1660629"	6.03845080704647e-09	2.82619620286739e-12	-7.31809904024715	17.1509182727473	-0.236474273916465	"NBEAL2"	"neurobeachin like 2"
"ILMN_2232936"	6.42961003705316e-09	3.20988987465601e-12	7.29763259093493	17.0261358617545	0.400278287127831	"UQCRH"	"ubiquinol-cytochrome c reductase hinge protein"
"ILMN_3209832"	7.31372568098154e-09	3.87947631990659e-12	7.26710496594555	16.8404474771297	0.330597828702619	"PET100"	"PET100 homolog"
"ILMN_2128128"	9.66802195403362e-09	5.42994774166449e-12	7.21272591009603	16.51098063737	0.369592541895305	"SHFM1"	"split hand/foot malformation (ectrodactyly) type 1"
"ILMN_2048326"	9.80807707366503e-09	5.81464209178556e-12	7.20162306698819	16.4439176502846	0.340657332563614	"RPS27A"	"ribosomal protein S27a"
"ILMN_1716895"	1.48889464702868e-08	9.29136414258594e-12	7.1252971563176	15.9848004719846	0.251495120355309	"RPA3"	"replication protein A3"
"ILMN_2366391"	2.62242225530333e-08	1.71833340701332e-11	7.02435737237562	15.3827799304356	0.226624594492428	"PRDX1"	"peroxiredoxin 1"
"ILMN_1756674"	2.87320053977295e-08	1.972305278636e-11	7.00159654750126	15.2478502160387	0.323979669538817	"ATP5EP2"	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2"
"ILMN_1755883"	3.57697387228586e-08	2.64411271159064e-11	6.95303310170978	14.9609753759564	0.399701962186402	"RPS27A"	"ribosomal protein S27a"
"ILMN_2339779"	3.57697387228586e-08	2.67862875393494e-11	6.95087927333367	14.9482844293272	0.211643480710618	"ATP6V1E1"	"ATPase H+ transporting V1 subunit E1"
"ILMN_1658259"	3.603379643674e-08	2.91950398001814e-11	6.93656804016303	14.8640283797816	0.114264537136636	"DRG1"	"developmentally regulated GTP binding protein 1"
"ILMN_1791332"	3.603379643674e-08	2.95085625696421e-11	6.93479139133348	14.8535769825162	0.383965572209865	"ATP5O"	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
"ILMN_1798485"	3.603379643674e-08	3.03570315389553e-11	6.93007493751259	14.8258408217495	0.216460006611024	"ATP6V1E1"	"ATPase H+ transporting V1 subunit E1"
"ILMN_1792473"	4.76122996748252e-08	4.15970667070768e-11	6.87752117858772	14.5176807636973	0.330943805512829	"AIF1"	"allograft inflammatory factor 1"
"ILMN_1726603"	5.12217009532424e-08	4.63486950495812e-11	6.85941386066232	14.4118861839341	0.323706769672498	"ATP5I"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E"
"ILMN_1772929"	5.80038911410735e-08	5.51520937696628e-11	6.83023445100464	14.2418147796014	0.367234351517232	"ATP5J"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6"
"ILMN_1747627"	5.80038911410735e-08	5.61053582131511e-11	-6.82735454379232	14.225057051573	-0.119391358695588	"ABCA2"	"ATP binding cassette subfamily A member 2"
"ILMN_1754990"	6.61871170045414e-08	6.60859229350471e-11	6.79979855184132	14.0649657263148	0.349198870031135	""	""
"ILMN_1713482"	1.04117262877401e-07	1.07206766980381e-10	6.7179284475152	13.5920409097926	0.194394641104797	"CWC15"	"CWC15 spliceosome-associated protein"
"ILMN_2234758"	1.08065939860838e-07	1.14644511693609e-10	6.70652447311708	13.5264896639222	0.310245563047298	"SRP14"	"signal recognition particle 14"
"ILMN_3261197"	1.12762522082851e-07	1.23145442069949e-10	6.69434891532741	13.4565912012135	0.350368303450014	"ATP5E"	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
"ILMN_2348093"	1.19942937413193e-07	1.34729500042902e-10	6.67902466629923	13.3687457726355	0.354446585600179	"ATP5J"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6"
"ILMN_1651254"	2.41157730250737e-07	2.78412306757691e-10	-6.55441454550929	12.6598144947597	-0.165658624525344	"LPP"	"LIM domain containing preferred translocation partner in lipoma"
"ILMN_2225887"	2.6383656261293e-07	3.15457348900257e-10	6.53280488324438	12.537857059051	0.339083034666379	"ATP5EP2"	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2"
"ILMN_2116366"	2.6383656261293e-07	3.21059188801656e-10	6.5297560086046	12.5206738499487	0.19106960950606	"RPL12"	"ribosomal protein L12"
"ILMN_1711994"	2.71216717847917e-07	3.38502565256847e-10	-6.52058613823417	12.4690284076058	-0.22872864256459	"TCIRG1"	"T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3"
"ILMN_1703538"	2.9354275711879e-07	3.75526632402584e-10	6.50256974077347	12.3677127124561	0.341565482216577	"AIF1"	"allograft inflammatory factor 1"
"ILMN_1688127"	3.05969556303685e-07	4.00971055719516e-10	6.49117263372034	12.3037264308617	0.283757434052292	""	""
"ILMN_3202673"	3.45874499248406e-07	4.68853777162111e-10	6.46392738161156	12.1510973015717	0.447777285526413	""	""
"ILMN_1701696"	3.45874499248406e-07	4.80028928495168e-10	6.45981713941447	12.1281123478691	0.281860976400994	""	""
"ILMN_1776260"	3.45874499248406e-07	4.85642374681839e-10	6.45778780180153	12.1167680065119	0.210209077607695	"PPIAL4A"	"peptidylprolyl isomerase A like 4A"
