"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"ILMN_1716895"	2.76075089751474e-13	7.20390078416289e-18	-9.57113585986032	30.0220614020882	-0.461219592161545	"RPA3"	"replication protein A3"
"ILMN_2097421"	5.10822339565785e-13	2.66587866067784e-17	-9.36786554025012	28.7434401909226	-0.497326055209621	"MRPL51"	"mitochondrial ribosomal protein L51"
"ILMN_2237746"	2.51634333005826e-12	2.4585770474687e-16	-9.01927671603711	26.5731996176518	-0.407815785866349	"ING3"	"inhibitor of growth family member 3"
"ILMN_1721989"	2.51634333005826e-12	3.17245217785142e-16	-8.97897350834136	26.324237413444	-0.546790788963468	"ATP5F1"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1"
"ILMN_1815707"	2.51634333005826e-12	3.28307195425496e-16	-8.97354961575198	26.2907651052445	-0.397531911112505	"CALML4"	"calmodulin like 4"
"ILMN_1784286"	2.61675160333573e-12	4.09688949717255e-16	-8.93847667449525	26.0745072408775	-0.970010576658661	"NDUFA1"	"NADH:ubiquinone oxidoreductase subunit A1"
"ILMN_1732328"	6.36361512706006e-12	1.16236479110248e-15	-8.77261468690117	25.0562905902915	-0.923077903215393	""	""
"ILMN_1746516"	7.42231186353417e-12	1.54942188524576e-15	-8.72668815269588	24.7756920814678	-0.5926727243077	"RPS25"	"ribosomal protein S25"
"ILMN_1793894"	7.49680199289241e-12	1.76059332348803e-15	-8.70624221233276	24.650964739209	-0.441961299848082	"ANAPC13"	"anaphase promoting complex subunit 13"
"ILMN_1677133"	9.4542171947532e-12	2.46698254175122e-15	-8.65216832139308	24.3216716160998	-0.317020264758657	"MITD1"	"microtubule interacting and trafficking domain containing 1"
"ILMN_2189933"	1.17324986590457e-11	3.36762480102035e-15	-8.60216410848334	24.0179154948954	-0.649766474722121	"RPL36AL"	"ribosomal protein L36a like"
"ILMN_1717165"	1.8043305155706e-11	5.64986201154585e-15	-8.51876645475844	23.5129496352486	-0.37333159297693	"IGBP1"	"immunoglobulin (CD79A) binding protein 1"
"ILMN_1803775"	1.93372808214268e-11	6.55962870022046e-15	-8.4946401962963	23.3672561694564	-0.79589885613847	"HSPE1"	"heat shock protein family E (Hsp10) member 1"
"ILMN_1791332"	1.95339462365068e-11	7.13606052008181e-15	-8.48101731824048	23.2850684833999	-0.714044688611546	"ATP5O"	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
"ILMN_1690706"	1.9541319084043e-11	8.57037573696541e-15	-8.45136323003605	23.106359553213	-0.44126582737789	"SNRPB2"	"small nuclear ribonucleoprotein polypeptide B2"
"ILMN_2166865"	1.9541319084043e-11	8.62568745197512e-15	-8.45032085985576	23.1000826692795	-0.745637603831737	"ENY2"	"ENY2, transcription and export complex 2 subunit"
"ILMN_1792528"	1.9541319084043e-11	8.77187564436727e-15	-8.44759748971131	23.0836848165843	-0.537943042230776	""	""
"ILMN_2103295"	1.9541319084043e-11	9.44686794286276e-15	-8.43558012131646	23.0113536071298	-0.577827272850005	"NSA2"	"NSA2, ribosome biogenesis homolog"
"ILMN_1726417"	1.9541319084043e-11	9.68830891623353e-15	-8.4314874743982	22.9867306026361	-0.337851040300967	"MRPL33"	"mitochondrial ribosomal protein L33"
"ILMN_2387553"	2.05167989549024e-11	1.10874312797988e-14	-8.40959780204828	22.8551217333533	-0.471182567461542	"PSMA3"	"proteasome subunit alpha 3"
"ILMN_1808374"	2.05167989549024e-11	1.12426683206677e-14	8.40734016283827	22.8415564399283	0.334657286441342	"SNTB2"	"syntrophin beta 2"
"ILMN_1672006"	2.40311678029844e-11	1.37955194443456e-14	-8.37408471398633	22.6419217463581	-0.460130601875006	"SSB"	"Sjogren syndrome antigen B"
"ILMN_1784523"	2.55644298350267e-11	1.53427937845579e-14	-8.35678685307218	22.5382189258738	-0.740896739392312	"ATP6V1G1"	"ATPase H+ transporting V1 subunit G1"
"ILMN_1776260"	3.02386806628415e-11	1.89371483419408e-14	-8.32249194033959	22.3328969635266	-0.474098175810584	"PPIAL4A"	"peptidylprolyl isomerase A like 4A"
"ILMN_2142117"	3.19679245836138e-11	2.08542680528754e-14	-8.30675929760021	22.2388318896841	-0.288367059896158	"LYPLAL1"	"lysophospholipase like 1"
"ILMN_1660111"	3.42622482734417e-11	2.41792927879068e-14	-8.28259902049266	22.0945329626167	-0.290151626708659	"UCHL3"	"ubiquitin C-terminal hydrolase L3"
"ILMN_1776104"	3.42622482734417e-11	2.46764880851554e-14	-8.27927251955019	22.074679947493	-0.836480613736546	"NDUFS5"	"NADH:ubiquinone oxidoreductase subunit S5"
"ILMN_1682226"	3.42622482734417e-11	2.50330859185442e-14	8.27692736350067	22.0606858842277	0.237151782810571	"CLDN15"	"claudin 15"
"ILMN_2339779"	3.9285177940068e-11	3.04589169927356e-14	-8.24483204687077	21.8693454167783	-0.408517767240394	"ATP6V1E1"	"ATPase H+ transporting V1 subunit E1"
